ID_COD;ID;X_CAMPUS;X_PERIODO;X_MODALIDAD;PROGRAMA;X_FACULTAD;DESCRIPCION_PROGRAMA;PERIODO_ADMISION;CATALOGO;CICLO_ACTUAL;CREDITOS_TOTAL;CREDITOS_MATRICULADOS;CACHIMBO;CICLO_MUESTRA;REINCORPORADO;TRASLADOS_INTER0S;TRICA_SUNEDU;X_ESTRATO_MUESTRA;RECOMENDACIÓN;REC_TIPO;DETRACTOR;PROMOTOR;SATISF_GEN;SATIF_ACAD;P4_1;P4_1_1;P4_1_2;P4_1_3;P4_1_4;P4_1_5;P4_1_6;P4_1_7;P4_1_8;P4_2;P4_2_1;P4_2_2;P4_3;P4_3_1;P4_3_2;P4_3_3;SATISF_SERV;SATISF_EXP;SATISF_REG_ACAD;SATISF_ACT_SOST;SATISF_APY_LOGRO_ACAD;SATISF_INF_TEC;P21_1;P21_1_1;P21_1_2;P21_2;P21_2_1;P21_2_2;P21_2_3;P21_3;P21_3_1;P21_3_2;P21_3_3;P21_3_4;SATISF_CAMP_VIRT;SATISF_COM_IMAG;P26_1;P26_2;P26_3;P26_4;P26_5;P26_6;P26_7;Facultad;Estrato_Muestra;CAB1;CAB2;CAB3;Campus;Modalidad;Carrera;Factor
21134;12806;LIM;25-Feb;UC-SEMIPRESENCIAL;105;Ingeniería;INGENIERÍA CIVIL;202420;201910;8;154;5;0;5 a más;1;0;0;ING CIVIL;10;1;0;1;4;4;4;4;4;4;4;4;4;4;4;5;4;4;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;Facultad de Ingeniería;Ingeniería Civil;Lima;UC - Semipresencial;Ingeniería Civil;Lima;Semipresencial;Ingeniería Civil;0.527959741
21135;43011;CZC;25-Feb;UC-SEMIPRESENCIAL;312;Derecho;DERECHO;202310;201910;6;113;25;0;5 a más;0;0;0;DERECHO;5;-1;1;0;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;3;3;3;3;3;3;3;3;3;4;4;4;4;4;3;3;3;3;3;3;3;3;3;Facultad de Derecho;Derecho;Cusco;UC - Semipresencial;Derecho;Cusco;Semipresencial;Derecho;0.741317989
21136;2684;VIR;25-Feb;UC-A DISTANCIA;103;Ingeniería;INGENIERÍA DE SISTEMAS E INFORMÁTICA;202420;201910;6;122;25;0;5 a más;0;0;0;INGENIERÍA OTRAS;7;0;0;0;3;4;3;4;4;4;4;4;4;3;4;4;3;4;4;4;5;4;3;4;4;4;4;4;4;4;5;4;4;3;4;4;4;4;5;4;4;4;4;4;4;4;4;4;3;Facultad de Ingeniería;Ingeniería - Otras;;UC - A Distancia;Ingeniería - Otras;Virtual;A Distancia;Ingeniería de Sistemas e Informática;1.784276927
21137;36332;HYO;25-Feb;UC-PRESENCIAL;312;Derecho;DERECHO;202410;202410;3;62;23;0;1 a 4;0;0;0;DERECHO;7;0;0;0;4;4;3;3;3;3;3;3;3;3;3;4;4;2;3;1;4;4;5;4;3;3;3;4;3;3;3;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;Facultad de Derecho;Derecho;Huancayo;UC - Presencial;Derecho;Huancayo;Presencial;Derecho;1.738801773
21138;73265;CZC;25-Feb;UC-PRESENCIAL;504;Ciencias de la Salud;ENFERMERÍA;202510;202410;1;23;23;0;1 a 4;0;0;0;CIENCIAS DE LA SALUD OTROS;10;1;0;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Facultad de Ciencias de la Salud;Ciencias de la Salud - Otros;Cusco;UC - Presencial;Ciencias de la Salud - Otros;Cusco;Presencial;Enfermería;0.852328829
21139;1545;CZC;25-Feb;UC-PRESENCIAL;103;Ingeniería;INGENIERÍA DE SISTEMAS E INFORMÁTICA;202510;202410;1;23;24;0;1 a 4;0;0;0;INGENIERÍA OTRAS;10;1;0;1;5;5;4;4;5;4;5;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Facultad de Ingeniería;Ingeniería - Otras;Cusco;UC - Presencial;Ingeniería - Otras;Cusco;Presencial;Ingeniería de Sistemas e Informática;2.205237248
21140;22759;VIR;25-Feb;UC-A DISTANCIA;108;Ingeniería;INGENIERÍA INDUSTRIAL;201810;201910;6;126;21;0;5 a más;0;0;0;ING INDUSTIAL;5;-1;1;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;Facultad de Ingeniería;Ingeniería Industrial;;UC - A Distancia;Ingeniería Industrial;Virtual;A Distancia;Ingeniería Industrial;1.111297499
21141;35175;VIR;25-Feb;UC-A DISTANCIA;310;Ciencias de la Empresa;CONTABILIDAD;202320;201910;9;189;16;0;5 a más;0;0;0;CIENCIAS DE LA EMPRESA OTROS;10;1;0;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Facultad de Ciencias de la Empresa;Ciencias de la Empresa - Otros;;UC - A Distancia;Ciencias de la Empresa - Otros;Virtual;A Distancia;Contabilidad;1.868117982
21142;24531;AQP;25-Feb;UC-SEMIPRESENCIAL;109;Ingeniería;INGENIERÍA ELÉCTRICA;202310;201910;10;194;15;0;5 a más;0;0;0;INGENIERÍA OTRAS;10;1;0;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Facultad de Ingeniería;Ingeniería - Otras;Arequipa;UC - Semipresencial;Ingeniería - Otras;Arequipa;Semipresencial;Ingeniería Eléctrica;1.076919411
21143;9418;CZC;25-Feb;UC-PRESENCIAL;105;Ingeniería;INGENIERÍA CIVIL;202520;202410;1;0;21;1;1 a 4;0;0;0;ING CIVIL;8;0;0;0;4;4;4;4;3;3;4;3;3;4;3;4;5;4;4;4;4;4;5;4;4;4;4;4;4;4;4;5;4;4;4;4;5;5;4;5;4;4;4;4;4;4;4;4;4;Facultad de Ingeniería;Ingeniería Civil;Cusco;UC - Presencial;Ingeniería Civil;Cusco;Presencial;Ingeniería Civil;2.203472353
